date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:47	112/112	U--MCZ	200	updated ('OK')	text/plain	date:Thu,%2008%20Aug%202024%2022:17:47%20GMT	http://blasusfoods.local/robots.txt		(from )
02:17:48	102798/102798	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2008%20Aug%202024%2022:17:48%20GMT	http://blasusfoods.local/	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/index.html	(from )
02:17:48	21850/21850	U-----	200	untouched ('OK')	text/css	etag:W/%226658fc43-555a%22	http://blasusfoods.local/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.5	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layersliderd230.css	(from http://blasusfoods.local/)
02:17:49	22680/22680	U-----	200	untouched ('')	application/rss+xml	etag:%22699536129a5ce49c65caacd3c4322924%22	http://blasusfoods.local/feed/	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/feed/index.html	(from http://blasusfoods.local/)
02:17:49	113381/113381	U-----	200	untouched ('OK')	text/css	etag:W/%2265ddf637-1bae5%22	http://blasusfoods.local/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-includes/css/dist/block-library/style.minef10.css	(from http://blasusfoods.local/)
02:17:49	1676/1676	U-----	200	untouched ('')	application/rss+xml	etag:%22699536129a5ce49c65caacd3c4322924%22	http://blasusfoods.local/comments/feed/	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/comments/feed/index.html	(from http://blasusfoods.local/)
02:17:49	2894/2894	U-----	200	untouched ('OK')	text/css	etag:W/%226658ffdd-b4e%22	http://blasusfoods.local/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.5	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/plugins/contact-form-7/includes/css/stylesd9cd.css	(from http://blasusfoods.local/)
02:17:49	3844/3844	U-----	200	untouched ('OK')	text/css	etag:W/%2266590fa8-f04%22	http://blasusfoods.local/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro.css?ver=1.7.0	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/plugins/marvy-animation-addons/elementor/assets/css/marvy-custom-pro7d4c.css	(from http://blasusfoods.local/)
02:17:50	9216/9216	U-----	200	untouched ('OK')	text/css	etag:W/%2266590fba-2400%22	http://blasusfoods.local/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-custom.css?ver=1.7.2.2	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/plugins/marvy-animation-addons-for-elementor-lite/elementor/assets/css/marvy-custom4c26.css	(from http://blasusfoods.local/)
02:17:50	61217/61217	U-----	200	untouched ('OK')	text/css	etag:W/%226658fc56-ef21%22	http://blasusfoods.local/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.4.2	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/plugins/revslider/public/assets/css/rs61e39.css	(from http://blasusfoods.local/)
02:17:50	4186/4186	U-----	200	untouched ('OK')	text/css	etag:W/%225cfaccce-105a%22	http://blasusfoods.local/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.5.3	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-includes/js/mediaelement/wp-mediaelement.minef10.css	(from http://blasusfoods.local/)
02:17:50	11256/11256	U-----	200	untouched ('OK')	text/css	etag:W/%225f735862-2bf8%22	http://blasusfoods.local/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from http://blasusfoods.local/)
02:17:51	615/615	U-----	200	untouched ('OK')	text/css	etag:W/%226658fbe0-267%22	http://blasusfoods.local/wp-content/themes/bridge/style.css?ver=6.5.3	C:/My%20Web%20Sites/BlasusFoods/blasusfoods.local/wp-content/themes/bridge/styleef10.css	(from http://blasusfoods.local/)
